District ID,City ID,Name
382,29,SIANTAR NARUMONDA
383,29,PARMAKSIAN
384,29,LUMBAN JULU
385,29,ULUAN
386,29,AJIBATA
387,29,BONATUA LUNASI
388,30,BILAH HULU
389,30,PANGKATAN
390,30,BILAH BARAT
391,30,BILAH HILIR
392,30,PANAI HULU
393,30,PANAI TENGAH
394,30,PANAI HILIR
395,30,RANTAU SELATAN
396,30,RANTAU UTARA
397,31,BANDAR PASIR MANDOGE
398,31,BANDAR PULAU
399,31,AEK SONGSONGAN
400,31,RAHUNIG
401,31,PULAU RAKYAT
402,31,AEK KUASAN
403,31,AEK LEDONG
404,31,SEI KEPAYANG
405,31,SEI KEPAYANG BARAT
406,31,SEI KEPAYANG TIMUR
407,31,TANJUNG BALAI
408,31,SIMPANG EMPAT
409,31,TELUK DALAM
410,31,AIR BATU
411,31,SEI DADAP
412,31,BUNTU PANE
413,31,TINGGI RAJA
414,31,SETIA JANJI
415,31,MERANTI
416,31,PULO BANDRING
417,31,RAWANG PANCA ARGA
418,31,AIR JOMAN
419,31,SILAU LAUT
420,31,KOTA KISARAN BARAT
421,31,KOTA KISARAN TIMUR
422,32,SILIMAKUTA
423,32,PAMATANG SILIMA HUTA
424,32,PURBA
425,32,HARANGGAOL HORISON
426,32,DOLOK PARDAMEAN
427,32,SIDAMANIK
428,32,PEMATANG SIDAMANIK
429,32,GIRSANG SIPANGAN
430,32,TANAH JAWA
431,32,HATONDUHAN
432,32,DOLOK PANRIBUAN
433,32,JORLANG HATARAN
434,32,PANEI
435,32,PANOMBEIAN PANE
436,32,RAYA
437,32,DOLOG MASAGAL
438,32,DOLOK SILAU
439,32,SILOU KAHEAN
440,32,RAYA KAHEAN
441,32,TAPIAN DOLOK
442,32,DOLOK BATU NANGGAR
443,32,SIANTAR
444,32,GUNUNG MALELA
445,32,GUNUNG MALIGAS
446,32,HUTA BAYU RAJA
447,32,JAWA MARAJA BAH
448,32,PEMATANG BANDAR
449,32,BANDAR HULUAN
450,32,BANDAR
451,32,BANDAR MASILAM
